,Machine failure,Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Temp difference,Power
0,0,1,1551,42.8,0,10.5,66382.79999999999
1,0,0,1408,46.3,3,10.5,65190.399999999994
2,0,0,1498,49.4,5,10.399999999999977,74001.2
3,0,0,1433,39.5,7,10.400000000000034,56603.5
4,0,0,1408,40.0,9,10.5,56320.0
5,0,1,1425,41.9,11,10.5,59707.5
6,0,0,1558,42.4,14,10.5,66059.2
7,0,0,1527,40.2,16,10.5,61385.4
8,0,1,1667,28.6,18,10.399999999999977,47676.200000000004
9,0,1,1741,28.0,21,10.5,48748.0
10,0,2,1782,23.9,24,10.5,42589.799999999996
11,0,2,1423,44.3,29,10.5,63038.899999999994
12,0,1,1339,51.1,34,10.5,68422.90000000001
13,0,1,1742,30.0,37,10.599999999999966,52260.0
14,0,0,2035,19.6,40,10.599999999999966,39886.0
15,0,0,1542,48.4,42,10.599999999999966,74632.8
16,0,1,1311,46.6,44,10.599999999999966,61092.6
17,0,1,1410,45.6,47,10.5,64296.0
18,0,2,1306,54.5,50,10.399999999999977,71177.0
19,0,1,1632,32.5,55,10.400000000000034,53040.0
20,0,2,1375,42.7,58,10.400000000000034,58712.50000000001
21,0,0,1450,44.8,63,10.5,64959.99999999999
22,0,1,1581,30.7,65,10.400000000000034,48536.7
23,0,0,1758,25.7,68,10.399999999999977,45180.6
24,0,1,1561,37.3,70,10.399999999999977,58225.299999999996
25,0,0,1861,23.3,73,10.5,43361.3
26,0,0,1512,39.0,75,10.399999999999977,58968.0
27,0,2,1811,24.6,77,10.299999999999955,44550.600000000006
28,0,0,1439,44.2,82,10.299999999999955,63603.8
29,0,0,1693,30.1,84,10.399999999999977,50959.3
30,0,1,1339,48.2,86,10.399999999999977,64539.8
31,0,0,1798,25.5,89,10.399999999999977,45849.0
32,0,0,1419,48.3,91,10.399999999999977,68537.7
33,0,0,1665,32.5,93,10.400000000000034,54112.5
34,0,1,1559,34.7,95,10.300000000000011,54097.3
35,0,1,1452,48.6,98,10.399999999999977,70567.2
36,0,1,1581,36.7,101,10.300000000000011,58022.700000000004
37,0,0,1439,39.2,104,10.300000000000011,56408.8
38,0,2,1379,50.7,106,10.300000000000011,69915.3
39,0,0,1350,52.5,111,10.300000000000011,70875.0
40,0,0,1362,45.4,113,10.300000000000011,61834.799999999996
41,0,0,1368,50.8,115,10.300000000000011,69494.4
42,0,1,1368,49.1,117,10.300000000000011,67168.8
43,0,2,1372,48.5,120,10.399999999999977,66542.0
44,0,1,1472,47.5,125,10.300000000000011,69920.0
45,0,0,1489,49.1,128,10.300000000000011,73109.90000000001
46,0,1,1843,25.8,130,10.300000000000011,47549.4
47,0,0,1418,46.3,133,10.300000000000011,65653.4
48,0,2,1425,53.9,135,10.399999999999977,76807.5
49,0,1,1412,44.1,140,10.300000000000011,62269.200000000004
50,1,0,2861,4.6,143,10.200000000000045,13160.599999999999
51,0,0,1383,54.9,145,10.200000000000045,75926.7
52,0,2,1497,43.8,147,10.199999999999989,65568.59999999999
53,0,0,1565,35.1,152,10.300000000000011,54931.5
54,0,0,1691,30.1,154,10.300000000000011,50899.100000000006
55,0,0,1512,40.7,156,10.300000000000011,61538.4
56,0,0,1477,42.4,158,10.300000000000011,62624.799999999996
57,0,0,1513,40.3,160,10.300000000000011,60973.899999999994
58,0,1,1661,29.5,162,10.199999999999989,48999.5
59,0,0,1378,54.4,165,10.300000000000011,74963.2
60,0,0,1393,52.6,167,10.300000000000011,73271.8
61,0,1,1592,38.2,169,10.199999999999989,60814.4
62,0,0,1829,22.9,172,10.199999999999989,41884.1
63,0,1,1812,25.9,174,10.100000000000023,46930.799999999996
64,0,0,1523,38.6,177,10.100000000000023,58787.8
65,0,0,1394,45.1,179,10.100000000000023,62869.4
66,0,1,1679,28.7,181,10.0,48187.299999999996
67,0,2,1466,44.1,184,10.099999999999966,64650.6
68,0,0,1527,32.4,189,10.099999999999966,49474.799999999996
69,1,0,1410,65.7,191,10.100000000000023,92637.0
70,0,1,1924,22.6,193,10.100000000000023,43482.4
71,0,0,1452,45.5,196,10.200000000000045,66066.0
72,0,0,1369,44.4,198,10.200000000000045,60783.6
73,0,0,1592,35.0,200,10.100000000000023,55720.0
74,0,0,1601,32.3,202,10.100000000000023,51712.299999999996
75,0,0,1379,46.7,204,10.099999999999966,64399.3
76,0,0,1461,47.9,206,10.099999999999966,69981.9
77,1,0,1455,41.3,208,10.099999999999966,60091.49999999999
78,0,0,1398,51.5,0,10.099999999999966,71997.0
79,0,0,1402,37.9,2,10.099999999999966,53135.799999999996
80,0,2,1445,49.9,4,10.0,72105.5
81,0,0,1450,47.5,9,10.0,68875.0
82,0,0,1453,40.8,11,10.0,59282.399999999994
83,0,0,1469,40.1,13,10.0,58906.9
84,0,0,1422,47.6,15,10.0,67687.2
85,0,1,1804,26.8,17,10.0,48347.200000000004
86,0,2,1436,43.9,20,10.0,63040.4
87,0,0,1544,31.8,25,10.0,49099.200000000004
88,0,1,1419,45.2,27,10.0,64138.8
89,0,1,1487,39.5,30,10.0,58736.5
90,0,0,1753,25.8,33,10.0,45227.4
91,0,0,1830,24.9,35,10.0,45567.0
92,0,1,1727,27.1,37,10.0,46801.700000000004
93,0,0,1450,43.0,40,9.899999999999977,62350.0
94,0,0,1622,31.9,42,9.899999999999977,51741.799999999996
95,0,1,1351,52.2,44,10.0,70522.2
96,0,1,1575,35.3,47,10.0,55597.49999999999
97,0,1,1750,29.9,50,10.0,52325.0
98,0,0,1529,32.7,53,9.900000000000034,49998.3
99,0,0,1523,44.4,55,10.0,67621.2
100,0,0,1852,25.0,57,10.099999999999966,46300.0
101,0,0,1991,20.7,59,10.0,41213.7
102,0,0,1555,40.6,61,10.0,63133.0
103,0,1,1441,40.5,63,10.0,58360.5
104,0,0,1450,43.4,66,9.899999999999977,62930.0
105,0,0,1591,31.1,68,9.899999999999977,49480.100000000006
106,0,0,1445,48.5,70,9.899999999999977,70082.5
107,0,1,1497,46.8,72,10.0,70059.59999999999
108,0,2,1621,32.7,75,9.900000000000034,53006.700000000004
109,0,0,1572,34.1,80,9.800000000000011,53605.200000000004
110,0,0,1872,22.5,82,9.800000000000011,42120.0
111,0,2,1499,43.5,84,9.900000000000034,65206.5
112,0,1,1498,39.5,89,9.899999999999977,59171.0
113,0,1,1486,41.9,92,9.800000000000011,62263.4
114,0,0,1680,29.4,95,9.800000000000011,49392.0
115,0,0,1431,45.7,97,9.800000000000011,65396.700000000004
116,0,0,1564,34.1,99,9.800000000000011,53332.4
117,0,0,1599,33.0,101,9.800000000000011,52767.0
118,0,1,1707,28.1,103,9.800000000000011,47966.700000000004
119,0,0,1467,40.7,106,9.800000000000011,59706.9
120,0,0,1433,44.7,108,9.800000000000011,64055.100000000006
121,0,0,1558,41.2,110,9.800000000000011,64189.600000000006
122,0,0,1310,50.7,112,9.800000000000011,66417.0
123,0,0,1546,43.4,114,9.800000000000011,67096.4
124,0,0,1727,29.4,116,9.800000000000011,50773.799999999996
125,0,0,1560,32.2,118,9.700000000000045,50232.00000000001
126,0,0,1329,60.5,120,9.600000000000023,80404.5
127,0,0,1413,46.5,122,9.700000000000045,65704.5
128,0,0,1587,38.6,124,9.600000000000023,61258.200000000004
129,0,0,1559,34.3,126,9.600000000000023,53473.7
130,0,0,1473,41.1,128,9.599999999999966,60540.3
131,0,0,1737,27.7,130,9.599999999999966,48114.9
132,0,1,1441,43.2,132,9.699999999999989,62251.200000000004
133,0,1,1430,49.6,135,9.699999999999989,70928.0
134,0,0,1369,53.0,138,9.599999999999966,72557.0
135,0,1,1711,28.5,140,9.699999999999989,48763.5
136,0,2,1420,45.7,143,9.800000000000011,64894.00000000001
137,0,0,1297,55.3,148,9.900000000000034,71724.09999999999
138,0,2,1449,49.4,150,9.800000000000011,71580.59999999999
139,0,0,1268,55.8,155,9.800000000000011,70754.4
140,0,0,1511,36.1,157,9.800000000000011,54547.1
141,0,0,1544,35.2,159,9.800000000000011,54348.8
142,0,1,1778,28.2,161,9.799999999999955,50139.6
143,0,2,1407,50.5,164,9.799999999999955,71053.5
144,0,1,1391,42.4,169,9.799999999999955,58978.4
145,0,0,1513,33.6,172,9.899999999999977,50836.8
146,0,2,1612,36.1,174,9.899999999999977,58193.200000000004
147,0,0,1515,40.1,179,10.0,60751.5
148,0,1,1379,48.0,181,10.0,66192.0
149,0,0,1473,39.9,184,9.900000000000034,58772.7
150,0,0,1422,42.7,186,9.900000000000034,60719.4
151,0,1,1463,37.6,188,9.800000000000011,55008.8
152,0,1,1584,41.0,191,9.800000000000011,64944.0
153,0,0,1850,27.0,194,9.800000000000011,49950.0
154,0,0,1528,36.2,196,9.800000000000011,55313.600000000006
155,0,2,1987,19.8,198,9.800000000000011,39342.6
156,0,1,1495,46.0,203,9.700000000000045,68770.0
157,0,2,1478,43.5,206,9.800000000000011,64293.0
158,0,1,1499,40.0,211,9.800000000000011,59960.0
159,0,0,1471,47.0,214,9.800000000000011,69137.0
160,1,0,1282,60.7,216,9.800000000000011,77817.40000000001
161,1,0,1412,52.3,218,9.800000000000011,73847.59999999999
162,0,0,1586,35.5,0,9.800000000000011,56303.0
163,0,1,1468,43.8,2,9.800000000000011,64298.399999999994
164,0,1,1440,43.6,5,9.800000000000011,62784.0
165,0,0,1733,26.0,8,9.899999999999977,45058.0
166,0,2,1612,32.6,10,9.800000000000011,52551.200000000004
167,0,2,1458,42.9,15,9.900000000000034,62548.2
168,1,0,1433,62.3,20,9.900000000000034,89275.9
169,0,0,1318,59.1,22,9.900000000000034,77893.8
170,0,1,1610,35.0,24,9.800000000000011,56350.0
171,0,0,1462,50.8,27,9.900000000000034,74269.59999999999
172,0,1,1924,20.8,29,9.899999999999977,40019.200000000004
173,0,1,1591,33.7,32,9.800000000000011,53616.700000000004
174,0,0,1306,58.3,35,9.900000000000034,76139.8
175,0,0,1382,43.5,37,9.900000000000034,60117.0
176,0,0,1618,34.7,39,9.900000000000034,56144.600000000006
177,0,0,1988,21.4,41,10.0,42543.2
178,0,0,1436,50.2,43,10.0,72087.2
179,0,0,1304,49.8,45,10.100000000000023,64939.2
180,0,0,1475,49.9,47,10.100000000000023,73602.5
181,0,2,1824,24.2,49,10.100000000000023,44140.799999999996
182,0,1,1342,48.1,54,10.099999999999966,64550.200000000004
183,0,0,1485,40.7,57,10.099999999999966,60439.50000000001
184,0,0,1667,30.6,59,10.0,51010.200000000004
185,0,0,1446,38.2,61,10.0,55237.200000000004
186,0,0,1301,56.0,63,10.199999999999989,72856.0
187,0,0,1379,43.1,65,10.199999999999989,59434.9
188,0,0,1606,33.6,67,10.199999999999989,53961.600000000006
189,0,1,1539,43.4,69,10.099999999999966,66792.59999999999
190,0,0,1477,49.9,72,10.199999999999989,73702.3
191,0,0,1666,34.6,74,10.199999999999989,57643.600000000006
192,0,2,1398,51.8,76,10.199999999999989,72416.4
193,0,2,1678,34.6,81,10.199999999999989,58058.8
194,1,1,2678,10.7,86,10.300000000000011,28654.6
195,0,0,1453,42.9,89,10.199999999999989,62333.7
196,0,2,1432,49.5,91,10.300000000000011,70884.0
197,0,1,1527,40.9,96,10.200000000000045,62454.299999999996
198,0,0,1588,35.0,99,10.300000000000011,55580.0
199,0,0,1433,47.1,101,10.200000000000045,67494.3
200,0,0,1609,35.0,103,10.200000000000045,56315.0
201,0,0,1575,41.2,105,10.199999999999989,64890.00000000001
202,0,1,1636,35.7,107,10.100000000000023,58405.200000000004
203,0,0,1490,37.9,110,10.100000000000023,56471.0
204,0,0,1741,32.8,112,10.100000000000023,57104.799999999996
205,0,1,1344,53.0,114,10.100000000000023,71232.0
206,0,0,1609,35.3,117,10.199999999999989,56797.7
207,1,1,1421,60.7,119,10.300000000000011,86254.7
208,0,0,1591,36.7,122,10.200000000000045,58389.700000000004
209,0,0,1477,44.0,124,10.200000000000045,64988.0
210,0,0,1523,36.1,126,10.300000000000011,54980.3
211,0,0,1575,33.9,128,10.199999999999989,53392.5
212,0,2,1344,52.9,130,10.300000000000011,71097.59999999999
213,0,0,1386,44.9,135,10.300000000000011,62231.4
214,0,1,1589,37.1,137,10.300000000000011,58951.9
215,0,0,1548,40.3,140,10.300000000000011,62384.399999999994
216,0,0,1499,38.3,142,10.300000000000011,57411.7
217,0,0,1664,31.6,144,10.199999999999989,52582.4
218,0,0,1447,38.1,146,10.300000000000011,55130.700000000004
219,0,1,1434,46.2,148,10.199999999999989,66250.8
220,0,0,1416,52.7,151,10.199999999999989,74623.2
221,0,2,1827,24.3,153,10.100000000000023,44396.1
222,0,0,1304,45.0,158,10.200000000000045,58680.0
223,0,0,1569,34.4,160,10.200000000000045,53973.6
224,0,0,1584,29.3,162,10.300000000000011,46411.200000000004
225,0,0,1362,53.8,164,10.199999999999989,73275.59999999999
226,0,0,1329,49.2,166,10.099999999999966,65386.8
227,0,0,1539,36.1,168,10.199999999999989,55557.9
228,0,1,1629,37.1,170,10.199999999999989,60435.9
229,0,0,1538,32.2,173,10.199999999999989,49523.600000000006
230,0,0,1570,34.8,175,10.300000000000011,54635.99999999999
231,0,0,1408,43.1,177,10.099999999999966,60684.8
232,0,0,1424,47.6,179,10.199999999999989,67782.40000000001
233,0,0,1512,34.9,181,10.199999999999989,52768.799999999996
